Date,Event,Category,Description
1990-08-02,Iraq Invades Kuwait,Conflict,Gulf War oil shock
1997-07-02,Asian Financial Crisis Begins,Economic Crisis,Sharp global demand drop
2001-09-11,9/11 Terror Attacks,Terrorism,Global market panic
2003-03-19,Iraq War Begins,Conflict,Supply shock
2008-09-15,Lehman Bankruptcy,Financial Crisis,Global recession begins
2011-02-01,Arab Spring Peaks,Conflict,Middle East supply uncertainty
2014-11-27,OPEC Refuses Production Cut,OPEC Policy,Price war starts
2016-11-30,OPEC+ Production Cut Deal,OPEC Policy,Supply control deal
2018-05-08,US Exits Iran Nuclear Deal,Sanctions,Increased Middle East tension
2020-03-08,Russia–Saudi Price War Begins,Conflict,Prices crash during COVID
2020-04-20,Oil Futures Go Negative,Economic Shock,Unprecedented demand drop
2021-01-01,OPEC+ Gradual Output Increase Starts,OPEC Policy,Controlled recovery
2022-02-24,Russia Invades Ukraine,Conflict,Massive supply/demand uncertainty
2022-06-01,EU Sanctions on Russian Oil,Sanctions,Banned seaborne Russian oil imports
2022-09-05,OPEC+ Announces Output Cut,OPEC Policy,Post-pandemic balancing
